Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.23.15.163 A. M.,Capture Start Frame,453465,Total Frames in Take,2650,Total Exported Frames,2650,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936
,ID,"CAD80","CAD80","CAD80","CAD10","CAD10","CAD10"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
478,3.983333,0.003076,0.032580,0.013829,,,
479,3.991667,0.003075,0.032573,0.013828,,,
480,4.000000,0.003080,0.032577,0.013834,,,
481,4.008333,0.003077,0.032579,0.013832,,,
482,4.016667,0.003073,0.032577,0.013834,,,
483,4.025000,0.003065,0.032584,0.013817,,,
484,4.033333,0.003068,0.032577,0.013818,,,
485,4.041667,0.003079,0.032574,0.013821,,,
486,4.050000,0.003079,0.032582,0.013827,,,
487,4.058333,0.003070,0.032572,0.013830,,,
488,4.066667,0.003062,0.032588,0.013823,,,
489,4.075000,0.003067,0.032581,0.013823,,,
490,4.083333,0.003069,0.032575,0.013821,,,
491,4.091667,0.003070,0.032586,0.013825,,,
492,4.100000,0.003071,0.032578,0.013833,,,
493,4.108333,0.003065,0.032574,0.013837,,,
494,4.116667,0.003068,0.032573,0.013818,,,
495,4.125000,0.003065,0.032587,0.013823,,,
496,4.133333,0.003079,0.032579,0.013826,,,
497,4.141667,0.003076,0.032597,0.013836,,,
498,4.150000,0.003053,0.032581,0.013823,,,
499,4.158333,0.003050,0.032581,0.013824,,,
500,4.166667,0.003053,0.032583,0.013822,,,
501,4.175000,0.003065,0.032586,0.013831,,,
502,4.183333,0.003065,0.032589,0.013836,,,
503,4.191667,0.003067,0.032583,0.013833,,,
504,4.200000,0.003048,0.032576,0.013818,,,
505,4.208333,0.003046,0.032580,0.013830,,,
506,4.216667,0.003055,0.032592,0.013837,,,
507,4.225000,0.003055,0.032582,0.013830,,,
508,4.233333,0.003061,0.032571,0.013825,,,
509,4.241667,0.003044,0.032568,0.013830,,,
510,4.250000,0.003041,0.032583,0.013832,,,
511,4.258333,0.003061,0.032601,0.013833,,,
512,4.266667,0.003072,0.032587,0.013829,,,
513,4.275000,0.003070,0.032581,0.013829,,,
514,4.283333,0.003074,0.032583,0.013825,,,
515,4.291667,0.003043,0.032587,0.013822,,,
516,4.300000,0.003058,0.032585,0.013824,,,
517,4.308333,0.003067,0.032591,0.013830,,,
518,4.316667,0.003073,0.032579,0.013826,,,
519,4.325000,0.003067,0.032584,0.013831,,,
520,4.333333,0.003054,0.032592,0.013828,,,
521,4.341667,0.003059,0.032587,0.013823,,,
522,4.350000,0.003077,0.032589,0.013818,,,
523,4.358333,0.003068,0.032580,0.013823,,,
524,4.366667,0.003060,0.032577,0.013832,,,
525,4.375000,0.003062,0.032582,0.013831,,,
526,4.383333,0.003049,0.032594,0.013822,,,
527,4.391667,0.003056,0.032586,0.013820,,,
528,4.400000,0.003069,0.032581,0.013832,,,
529,4.408333,0.003062,0.032576,0.013838,,,
530,4.416667,0.003062,0.032585,0.013833,,,
531,4.425000,0.003052,0.032592,0.013823,,,
532,4.433333,0.003068,0.032582,0.013830,,,
533,4.441667,0.003068,0.032582,0.013826,,,
534,4.450000,0.003067,0.032590,0.013825,,,
535,4.458333,0.003065,0.032608,0.013821,,,
536,4.466667,0.003068,0.032598,0.013822,,,
537,4.475000,0.003071,0.032593,0.013832,,,
538,4.483333,0.003061,0.032577,0.013838,,,
539,4.491667,0.003063,0.032588,0.013823,,,
540,4.500000,0.003068,0.032587,0.013829,,,
541,4.508333,0.003084,0.032599,0.013830,,,
542,4.516667,0.003070,0.032589,0.013826,,,
543,4.525000,0.003053,0.032589,0.013824,,,
544,4.533333,0.003057,0.032564,0.013823,,,
545,4.541667,0.003058,0.032587,0.013826,,,
546,4.550000,0.003062,0.032590,0.013822,,,
547,4.558333,0.003062,0.032585,0.013837,,,
548,4.566667,0.003054,0.032581,0.013839,,,
549,4.575000,0.003053,0.032580,0.013830,,,
550,4.583333,0.003061,0.032582,0.013828,,,
551,4.591667,0.003067,0.032589,0.013828,,,
552,4.600000,0.003069,0.032596,0.013814,,,
553,4.608333,0.003059,0.032592,0.013831,,,
554,4.616667,0.003061,0.032580,0.013831,,,
555,4.625000,0.003068,0.032578,0.013827,,,
556,4.633333,0.003056,0.032591,0.013826,,,
557,4.641667,0.003070,0.032591,0.013819,,,
558,4.650000,0.003061,0.032587,0.013824,,,
559,4.658333,0.003056,0.032590,0.013836,,,
560,4.666667,0.003056,0.032577,0.013835,,,
561,4.675000,0.003062,0.032584,0.013822,,,
562,4.683333,0.003064,0.032588,0.013820,,,
563,4.691667,0.003060,0.032601,0.013825,,,
564,4.700000,0.003058,0.032592,0.013830,,,
565,4.708333,0.003052,0.032587,0.013830,,,
566,4.716667,0.003053,0.032589,0.013832,,,
567,4.725000,0.003060,0.032592,0.013826,,,
568,4.733333,0.003048,0.032584,0.013827,,,
569,4.741667,0.003050,0.032582,0.013834,,,
570,4.750000,0.003051,0.032583,0.013833,,,
571,4.758333,0.003043,0.032587,0.013840,,,
572,4.766667,0.003053,0.032589,0.013827,,,
573,4.775000,0.003056,0.032588,0.013830,,,
574,4.783333,0.003059,0.032580,0.013828,,,
575,4.791667,0.003061,0.032581,0.013823,,,
576,4.800000,0.003070,0.032593,0.013822,,,
577,4.808333,0.003051,0.032589,0.013826,,,
578,4.816667,0.003069,0.032586,0.013822,,,
579,4.825000,0.003065,0.032587,0.013823,,,
580,4.833333,0.003091,0.032590,0.013827,,,
581,4.841667,0.003094,0.032589,0.013835,,,
582,4.850000,0.003074,0.032586,0.013833,,,
583,4.858333,0.003078,0.032580,0.013824,,,
584,4.866667,0.003061,0.032577,0.013828,,,
585,4.875000,0.003077,0.032583,0.013831,,,
586,4.883333,0.003065,0.032579,0.013822,,,
587,4.891667,0.003067,0.032590,0.013825,,,
588,4.900000,0.003063,0.032582,0.013811,,,
589,4.908333,0.003068,0.032591,0.013820,,,
590,4.916667,0.003069,0.032582,0.013820,,,
591,4.925000,0.003072,0.032565,0.013810,,,
592,4.933333,0.003036,0.032475,0.013779,,,
593,4.941667,0.003047,0.032480,0.013744,,,
594,4.950000,0.003034,0.032469,0.013738,,,
595,4.958333,0.003058,0.032495,0.013820,,,
596,4.966667,0.003118,0.032668,0.013549,,,
597,4.975000,0.003112,0.032661,0.013553,,,
598,4.983333,0.003146,0.032686,0.013628,,,
599,4.991667,0.003021,0.032432,0.013754,,,
600,5.000000,0.003150,0.032778,0.013629,,,
601,5.008333,0.003073,0.032584,0.013837,,,
602,5.016667,0.003051,0.032485,0.013764,,,
603,5.025000,0.003187,0.032757,0.013623,,,
604,5.033333,0.003114,0.032472,0.013763,,,
605,5.041667,0.003178,0.032604,0.013873,,,
606,5.050000,0.003219,0.032510,0.014204,,,
607,5.058333,0.003306,0.032533,0.014254,,,
608,5.066667,0.003337,0.032556,0.014325,,,
609,5.075000,0.003536,0.032645,0.014179,,,
610,5.083333,0.003810,0.032603,0.014225,,,
611,5.091667,0.003698,0.032403,0.014581,,,
612,5.100000,0.003842,0.032549,0.014472,,,
613,5.108333,0.003781,0.032406,0.014747,,,
614,5.116667,0.003980,0.032567,0.014522,,,
615,5.125000,0.003931,0.032466,0.014878,,,
616,5.133333,0.004069,0.032593,0.014743,,,
617,5.141667,0.004255,0.032629,0.014697,,,
618,5.150000,0.004374,0.032584,0.014792,,,
619,5.158333,0.004437,0.032734,0.014846,,,
620,5.166667,0.004585,0.032804,0.014895,,,
621,5.175000,0.004687,0.032721,0.014971,,,
622,5.183333,0.004790,0.032640,0.015064,,,
623,5.191667,0.004807,0.032689,0.015087,,,
624,5.200000,0.005016,0.032826,0.015094,,,
625,5.208333,0.005049,0.032857,0.015103,,,
626,5.216667,0.005251,0.032929,0.015025,,,
627,5.225000,0.005600,0.032914,0.015123,,,
628,5.233333,0.005536,0.033120,0.015272,,,
629,5.241667,0.005988,0.032984,0.015453,,,
630,5.250000,0.005984,0.032922,0.015298,,,
631,5.258333,0.006205,0.032881,0.015295,,,
632,5.266667,0.006371,0.033138,0.015376,,,
633,5.275000,0.006531,0.033001,0.015373,,,
634,5.283333,0.006653,0.033015,0.015374,,,
635,5.291667,0.006822,0.033082,0.015297,,,
636,5.300000,0.006807,0.033002,0.015493,,,
637,5.308333,0.006943,0.033003,0.015497,,,
638,5.316667,0.007117,0.033073,0.015507,,,
639,5.325000,0.007340,0.033164,0.015375,,,
640,5.333333,0.007601,0.033375,0.015207,,,
641,5.341667,0.007558,0.033246,0.015317,,,
642,5.350000,0.007813,0.033603,0.014927,,,
643,5.358333,0.007937,0.033764,0.014802,,,
644,5.366667,0.008111,0.034088,0.014657,,,
645,5.375000,0.008466,0.034441,0.014538,,,
646,5.383333,0.008751,0.034884,0.014480,,,
647,5.391667,0.008974,0.035366,0.014387,,,
648,5.400000,0.009200,0.036058,0.014407,,,
649,5.408333,0.009308,0.036751,0.014158,,,
650,5.416667,0.009394,0.037734,0.014106,,,
651,5.425000,0.009580,0.038667,0.014061,,,
652,5.433333,0.009803,0.039729,0.014141,,,
653,5.441667,0.010110,0.040930,0.013718,,,
654,5.450000,0.010173,0.042268,0.014066,,,
655,5.458333,0.010347,0.043601,0.013449,,,
656,5.466667,0.010786,0.045065,0.013444,,,
657,5.475000,0.010811,0.046662,0.013359,,,
658,5.483333,0.011239,0.048326,0.013202,,,
659,5.491667,0.011255,0.050201,0.012937,,,
660,5.500000,0.011558,0.052312,0.012834,,,
661,5.508333,0.011852,0.054033,0.012562,,,
662,5.516667,0.011971,0.056426,0.012314,,,
663,5.525000,0.011911,0.058586,0.012018,,,
664,5.533333,0.012302,0.060930,0.011940,,,
665,5.541667,0.012498,0.063437,0.011666,,,
666,5.550000,0.012750,0.066047,0.011620,,,
667,5.558333,0.012847,0.068682,0.011054,,,
668,5.566667,0.013024,0.071348,0.010822,,,
669,5.575000,0.013358,0.073872,0.011178,,,
670,5.583333,0.013420,0.076588,0.010880,,,
671,5.591667,0.013432,0.079347,0.010684,,,
672,5.600000,0.013488,0.082307,0.010511,,,
673,5.608333,0.013838,0.085485,0.010203,,,
674,5.616667,0.014052,0.088630,0.009904,,,
675,5.625000,0.014109,0.091755,0.009660,,,
676,5.633333,0.014252,0.094901,0.009501,,,
677,5.641667,0.014741,0.097987,0.009222,,,
678,5.650000,0.014946,0.101251,0.009028,,,
679,5.658333,0.015082,0.104481,0.008845,,,
680,5.666667,0.015337,0.107633,0.008684,,,
681,5.675000,0.015597,0.111000,0.008602,,,
682,5.683333,0.015773,0.114401,0.008247,,,
683,5.691667,0.016002,0.117750,0.008095,,,
684,5.700000,0.016253,0.121171,0.007939,,,
685,5.708333,0.016149,0.124281,0.008016,,,
686,5.716667,0.016384,0.127530,0.007754,,,
687,5.725000,0.016529,0.130927,0.007755,,,
688,5.733333,0.016551,0.134343,0.007654,,,
689,5.741667,0.017063,0.137915,0.007411,,,
690,5.750000,0.017185,0.141221,0.007325,,,
691,5.758333,0.017310,0.144536,0.007240,,,
692,5.766667,0.017309,0.147780,0.007389,,,
693,5.775000,0.017775,0.151456,0.007088,,,
694,5.783333,0.017932,0.154891,0.007044,,,
695,5.791667,0.018192,0.158457,0.007038,,,
696,5.800000,0.018544,0.161978,0.007147,,,
697,5.808333,0.018305,0.165411,0.007281,,,
698,5.816667,0.018633,0.169038,0.006811,,,
699,5.825000,0.018886,0.172539,0.006630,,,
700,5.833333,0.019199,0.176261,0.006631,,,
701,5.841667,0.019390,0.179953,0.006739,,,
702,5.850000,0.019602,0.183608,0.006914,,,
703,5.858333,0.019794,0.187360,0.006908,,,
704,5.866667,0.019910,0.190984,0.006915,,,
705,5.875000,0.020026,0.194789,0.006823,,,
706,5.883333,0.020133,0.198750,0.006851,,,
707,5.891667,0.020484,0.202587,0.007052,,,
708,5.900000,0.020677,0.206516,0.007191,,,
709,5.908333,0.020557,0.210309,0.007476,,,
710,5.916667,0.020890,0.214620,0.007191,,,
711,5.925000,0.021074,0.218727,0.007333,,,
712,5.933333,0.021294,0.222972,0.007488,,,
713,5.941667,0.021392,0.226889,0.007869,,,
714,5.950000,0.021751,0.231526,0.007647,,,
715,5.958333,0.021972,0.235554,0.007732,,,
716,5.966667,0.022159,0.239801,0.007763,,,
717,5.975000,0.022179,0.244341,0.007981,,,
718,5.983333,0.022241,0.248364,0.008391,,,
719,5.991667,0.022653,0.252901,0.008098,,,
720,6.000000,0.022783,0.257402,0.008181,,,
721,6.008333,0.023049,0.261656,0.008338,,,
722,6.016667,0.023433,0.266246,0.008460,,,
723,6.025000,0.023669,0.270647,0.008516,,,
724,6.033333,0.023997,0.275141,0.008653,,,
725,6.041667,0.024182,0.279513,0.008766,,,
726,6.050000,0.024458,0.283974,0.008871,,,
727,6.058333,0.024832,0.288463,0.008915,,,
728,6.066667,0.025089,0.292875,0.008843,,,
729,6.075000,0.025525,0.297366,0.009000,,,
730,6.083333,0.025934,0.301747,0.009079,,,
731,6.091667,0.026422,0.306069,0.009059,,,
732,6.100000,0.026945,0.310549,0.009118,,,
733,6.108333,0.027507,0.314873,0.009112,,,
734,6.116667,0.028111,0.319215,0.009169,,,
735,6.125000,0.028729,0.323574,0.009241,,,
736,6.133333,0.029242,0.327863,0.009191,,,
737,6.141667,0.029894,0.332116,0.009127,,,
738,6.150000,0.030749,0.336354,0.008979,,,
739,6.158333,0.031598,0.340583,0.009039,,,
740,6.166667,0.032387,0.344720,0.009061,,,
741,6.175000,0.033169,0.348938,0.008856,,,
742,6.183333,0.034240,0.353011,0.008747,,,
743,6.191667,0.035278,0.357054,0.008621,,,
744,6.200000,0.036345,0.361139,0.008482,,,
745,6.208333,0.037616,0.365127,0.008352,,,
746,6.216667,0.038849,0.369190,0.008079,,,
747,6.225000,0.040242,0.373075,0.007839,,,
748,6.233333,0.041487,0.377024,0.007677,,,
749,6.241667,0.043120,0.380911,0.007503,,,
750,6.250000,0.044421,0.384704,0.007172,,,
751,6.258333,0.046231,0.388562,0.006901,,,
752,6.266667,0.047784,0.392364,0.006633,,,
753,6.275000,0.049708,0.396241,0.006367,,,
754,6.283333,0.051470,0.400073,0.005994,,,
755,6.291667,0.053463,0.403937,0.005531,,,
756,6.300000,0.055671,0.407795,0.005157,,,
757,6.308333,0.057764,0.411684,0.004737,,,
758,6.316667,0.060005,0.415550,0.004234,,,
759,6.325000,0.062525,0.419555,0.003707,,,
760,6.333333,0.064883,0.423460,0.003145,,,
761,6.341667,0.067402,0.427529,0.002704,,,
762,6.350000,0.070049,0.431524,0.002097,,,
763,6.358333,0.072716,0.435570,0.001460,,,
764,6.366667,0.075617,0.439731,0.000849,,,
765,6.375000,0.078577,0.443967,0.000163,,,
766,6.383333,0.081727,0.448188,-0.000590,,,
767,6.391667,0.084885,0.452482,-0.001276,,,
768,6.400000,0.088215,0.456870,-0.001928,,,
769,6.408333,0.091671,0.461234,-0.002838,,,
770,6.416667,0.095239,0.465720,-0.003656,,,
771,6.425000,0.098841,0.470325,-0.004509,,,
772,6.433333,0.102645,0.474971,-0.005387,,,
773,6.441667,0.106474,0.479588,-0.006326,,,
774,6.450000,0.110499,0.484315,-0.007329,,,
775,6.458333,0.114520,0.489078,-0.008312,,,
776,6.466667,0.118763,0.493948,-0.009350,,,
777,6.475000,0.123139,0.498897,-0.010397,,,
778,6.483333,0.127586,0.503854,-0.011490,,,
779,6.491667,0.132096,0.508927,-0.012632,,,
780,6.500000,0.136898,0.514010,-0.013692,,,
781,6.508333,0.141697,0.519124,-0.014913,,,
782,6.516667,0.146500,0.524323,-0.016091,,,
783,6.525000,0.151606,0.529545,-0.017422,,,
784,6.533333,0.156676,0.534818,-0.018659,,,
785,6.541667,0.162021,0.540150,-0.019992,,,
786,6.550000,0.167431,0.545512,-0.021324,,,
787,6.558333,0.172928,0.550998,-0.022697,,,
788,6.566667,0.178480,0.556437,-0.024134,,,
789,6.575000,0.184285,0.562004,-0.025509,,,
790,6.583333,0.190140,0.567548,-0.027070,,,
791,6.591667,0.196027,0.573158,-0.028586,,,
792,6.600000,0.202152,0.578796,-0.030013,,,
793,6.608333,0.208282,0.584463,-0.031593,,,
794,6.616667,0.214737,0.590167,-0.033078,,,
795,6.625000,0.221083,0.595905,-0.034666,,,
796,6.633333,0.227629,0.601685,-0.036273,,,
797,6.641667,0.234253,0.607416,-0.037909,,,
798,6.650000,0.240874,0.613120,-0.039475,,,
799,6.658333,0.247761,0.618864,-0.041244,,,
800,6.666667,0.254753,0.624696,-0.042776,,,
801,6.675000,0.261840,0.630439,-0.044522,,,
802,6.683333,0.269056,0.636222,-0.046319,,,
803,6.691667,0.276359,0.642045,-0.047961,,,
804,6.700000,0.283714,0.647756,-0.049737,,,
805,6.708333,0.291161,0.653443,-0.051533,,,
806,6.716667,0.298778,0.659136,-0.053215,,,
807,6.725000,0.306494,0.664870,-0.054977,,,
808,6.733333,0.314244,0.670530,-0.056783,,,
809,6.741667,0.321988,0.676122,-0.058609,,,
810,6.750000,0.329955,0.681662,-0.060293,,,
811,6.758333,0.337971,0.687230,-0.061980,,,
812,6.766667,0.345992,0.692576,-0.063822,,,
813,6.775000,0.354218,0.698077,-0.065529,,,
814,6.783333,0.362439,0.703433,-0.067283,,,
815,6.791667,0.370740,0.708709,-0.068963,,,
816,6.800000,0.379235,0.714044,-0.070734,,,
817,6.808333,0.387663,0.719144,-0.072442,,,
818,6.816667,0.396199,0.724293,-0.074144,,,
819,6.825000,0.404704,0.729419,-0.075888,,,
820,6.833333,0.413424,0.734447,-0.077623,,,
821,6.841667,0.422123,0.739344,-0.079252,,,
822,6.850000,0.430889,0.744207,-0.080799,,,
823,6.858333,0.439756,0.749031,-0.082520,,,
824,6.866667,0.448556,0.753850,-0.084105,,,
825,6.875000,0.457475,0.758508,-0.085719,,,
826,6.883333,0.466504,0.763223,-0.087297,,,
827,6.891667,0.475458,0.767795,-0.088849,,,
828,6.900000,0.484386,0.772312,-0.090367,,,
829,6.908333,0.493551,0.776876,-0.091883,,,
830,6.916667,0.502701,0.781350,-0.093362,,,
831,6.925000,0.511745,0.785753,-0.094832,,,
832,6.933333,0.520989,0.790245,-0.096340,,,
833,6.941667,0.530178,0.794595,-0.097743,,,
834,6.950000,0.539318,0.798997,-0.099221,,,
835,6.958333,0.548614,0.803365,-0.100687,,,
836,6.966667,0.558024,0.807808,-0.102028,,,
837,6.975000,0.567277,0.812167,-0.103522,,,
838,6.983333,0.576682,0.816471,-0.104951,,,
839,6.991667,0.585931,0.820791,-0.106443,,,
840,7.000000,0.595252,0.825050,-0.107875,,,
841,7.008333,0.604643,0.829385,-0.109286,,,
842,7.016667,0.613947,0.833721,-0.110845,,,
843,7.025000,0.623272,0.837906,-0.112234,,,
844,7.033333,0.632543,0.842057,-0.113659,,,
845,7.041667,0.641832,0.846203,-0.115133,,,
846,7.050000,0.651108,0.850396,-0.116523,,,
847,7.058333,0.660385,0.854529,-0.118063,,,
848,7.066667,0.669671,0.858565,-0.119543,,,
849,7.075000,0.678874,0.862668,-0.120995,,,
850,7.083333,0.688193,0.866780,-0.122537,,,
851,7.091667,0.697321,0.870855,-0.124055,,,
852,7.100000,0.706566,0.874884,-0.125713,,,
853,7.108333,0.715730,0.878874,-0.127325,,,
854,7.116667,0.724893,0.882820,-0.129092,,,
855,7.125000,0.733977,0.886786,-0.130826,,,
856,7.133333,0.743022,0.890813,-0.132621,,,
857,7.141667,0.752014,0.894853,-0.134421,,,
858,7.150000,0.761042,0.898756,-0.136340,,,
859,7.158333,0.769928,0.902610,-0.138243,,,
860,7.166667,0.778789,0.906462,-0.140149,,,
861,7.175000,0.787491,0.910264,-0.142141,,,
862,7.183333,0.796126,0.914025,-0.144267,,,
863,7.191667,0.804758,0.917831,-0.146429,,,
864,7.200000,0.813346,0.921587,-0.148467,,,
865,7.208333,0.821853,0.925249,-0.150751,,,
866,7.216667,0.830176,0.928908,-0.153040,,,
867,7.225000,0.838467,0.932478,-0.155439,,,
868,7.233333,0.846686,0.936085,-0.157756,,,
869,7.241667,0.854836,0.939636,-0.160387,,,
870,7.250000,0.862845,0.943129,-0.163025,,,
871,7.258333,0.870761,0.946594,-0.165706,,,
872,7.266667,0.878649,0.950017,-0.168521,,,
873,7.275000,0.886297,0.953435,-0.171339,,,
874,7.283333,0.893871,0.956672,-0.174404,,,
875,7.291667,0.901343,0.959960,-0.177379,,,
876,7.300000,0.908796,0.963220,-0.180579,,,
877,7.308333,0.915969,0.966318,-0.183659,,,
878,7.316667,0.923089,0.969394,-0.186980,,,
879,7.325000,0.930031,0.972405,-0.190305,,,
880,7.333333,0.936925,0.975361,-0.193823,,,
881,7.341667,0.943662,0.978306,-0.197364,,,
882,7.350000,0.950251,0.981291,-0.200998,,,
883,7.358333,0.956691,0.984085,-0.204712,,,
884,7.366667,0.962916,0.986866,-0.208649,,,
885,7.375000,0.968982,0.989621,-0.212554,,,
886,7.383333,0.975028,0.992391,-0.216708,,,
887,7.391667,0.980767,0.995062,-0.220833,,,
888,7.400000,0.986299,0.997666,-0.225275,,,
889,7.408333,0.991789,1.000355,-0.229665,,,
890,7.416667,0.997084,1.003032,-0.234095,,,
891,7.425000,1.002253,1.005645,-0.238830,,,
892,7.433333,1.007138,1.008294,-0.243541,,,
893,7.441667,1.011920,1.010801,-0.248379,,,
894,7.450000,1.016372,1.013386,-0.253297,,,
895,7.458333,1.020794,1.015973,-0.258431,,,
896,7.466667,1.024959,1.018507,-0.263581,,,
897,7.475000,1.028935,1.021124,-0.268886,,,
898,7.483333,1.032691,1.023780,-0.274301,,,
899,7.491667,1.036143,1.026573,-0.279989,,,
900,7.500000,1.039524,1.029222,-0.285666,,,
901,7.508333,1.042864,1.031675,-0.291246,,,
902,7.516667,1.045791,1.034367,-0.297265,,,
903,7.525000,1.048516,1.037313,-0.303463,,,
904,7.533333,1.051248,1.039939,-0.309359,,,
905,7.541667,1.053473,1.042844,-0.315916,,,
906,7.550000,1.055655,1.045547,-0.322117,,,
907,7.558333,1.057492,1.048563,-0.328847,,,
908,7.566667,1.059300,1.051551,-0.335432,,,
909,7.575000,1.060838,1.054487,-0.342178,,,
910,7.583333,1.062261,1.057492,-0.349069,,,
911,7.591667,1.063381,1.060510,-0.356038,,,
912,7.600000,1.064353,1.063582,-0.363204,,,
913,7.608333,1.065187,1.066774,-0.370368,,,
914,7.616667,1.065733,1.069875,-0.377749,,,
915,7.625000,1.066130,1.073116,-0.385174,,,
916,7.633333,1.066294,1.076303,-0.392735,,,
917,7.641667,1.066378,1.079628,-0.400476,,,
918,7.650000,1.066124,1.082874,-0.408263,,,
919,7.658333,1.065784,1.086198,-0.416226,,,
920,7.666667,1.065330,1.089401,-0.424036,,,
921,7.675000,1.064552,1.092955,-0.432427,,,
922,7.683333,1.063633,1.096335,-0.440603,,,
923,7.691667,1.062544,1.099814,-0.449024,,,
924,7.700000,1.061267,1.103256,-0.457503,,,
925,7.708333,1.059969,1.106673,-0.466047,,,
926,7.716667,1.058281,1.110134,-0.474660,,,
927,7.725000,1.056639,1.113578,-0.483446,,,
928,7.733333,1.054739,1.117041,-0.492301,,,
929,7.741667,1.052727,1.120515,-0.501202,,,
930,7.750000,1.050548,1.124009,-0.510206,,,
931,7.758333,1.048235,1.127374,-0.519307,,,
932,7.766667,1.045621,1.130735,-0.528516,,,
933,7.775000,1.043006,1.134094,-0.537854,,,
934,7.783333,1.040196,1.137488,-0.547202,,,
935,7.791667,1.037370,1.140760,-0.556672,,,
936,7.800000,1.034294,1.144028,-0.566260,,,
937,7.808333,1.031190,1.147527,-0.575663,,,
938,7.816667,1.027855,1.150696,-0.585188,,,
939,7.825000,1.024469,1.153867,-0.594892,,,
940,7.833333,1.020888,1.156966,-0.604652,,,
941,7.841667,1.017190,1.160044,-0.614426,,,
942,7.850000,1.013442,1.163173,-0.624271,,,
943,7.858333,1.009583,1.166211,-0.634030,,,
944,7.866667,1.005536,1.169095,-0.644001,,,
945,7.875000,1.001374,1.172004,-0.653865,,,
946,7.883333,0.997167,1.174861,-0.663845,,,
947,7.891667,0.992826,1.177743,-0.673871,,,
948,7.900000,0.988502,1.180372,-0.683797,,,
949,7.908333,0.983988,1.183115,-0.693749,,,
950,7.916667,0.979252,1.185732,-0.703840,,,
951,7.925000,0.974569,1.188343,-0.713898,,,
952,7.933333,0.969761,1.190921,-0.723928,,,
953,7.941667,0.964911,1.193457,-0.734095,,,
954,7.950000,0.959900,1.195791,-0.744149,,,
955,7.958333,0.954831,1.198283,-0.754249,,,
956,7.966667,0.949589,1.200610,-0.764427,,,
957,7.975000,0.944223,1.202850,-0.774727,,,
958,7.983333,0.938830,1.205194,-0.784788,,,
959,7.991667,0.933244,1.207349,-0.794901,,,
960,8.000000,0.927595,1.209408,-0.805248,,,
961,8.008333,0.921831,1.211610,-0.815360,,,
962,8.016667,0.916044,1.213721,-0.825524,,,
963,8.025000,0.910057,1.215754,-0.836493,,,
964,8.033333,0.904184,1.217739,-0.846057,,,
965,8.041667,0.898017,1.219731,-0.856254,,,
966,8.050000,0.891748,1.221680,-0.866247,,,
967,8.058333,0.885368,1.223725,-0.876076,,,
968,8.066667,0.879012,1.225661,-0.886159,,,
969,8.075000,0.872482,1.227662,-0.896062,,,
970,8.083333,0.865890,1.229606,-0.906190,,,
971,8.091667,0.859131,1.231591,-0.916211,,,
972,8.100000,0.852310,1.233506,-0.926224,,,
973,8.108333,0.845394,1.235392,-0.936184,,,
974,8.116667,0.838297,1.237221,-0.946081,,,
975,8.125000,0.831244,1.239096,-0.956032,,,
976,8.133333,0.823827,1.240968,-0.965910,,,
977,8.141667,0.816376,1.242886,-0.975886,,,
978,8.150000,0.808922,1.244709,-0.985618,,,
979,8.158333,0.801411,1.246597,-0.995419,,,
980,8.166667,0.793951,1.248487,-1.005037,,,
981,8.175000,0.785755,1.250303,-1.014943,,,
982,8.183333,0.777782,1.252148,-1.024720,,,
983,8.191667,0.769852,1.254034,-1.034285,,,
984,8.200000,0.761647,1.255937,-1.044013,,,
985,8.208333,0.753279,1.257779,-1.053588,,,
986,8.216667,0.744985,1.259708,-1.063158,,,
987,8.225000,0.736635,1.261567,-1.072628,,,
988,8.233333,0.727989,1.263417,-1.082080,,,
989,8.241667,0.719379,1.265251,-1.091380,,,
990,8.250000,0.710608,1.267104,-1.100702,,,
991,8.258333,0.701787,1.268957,-1.109928,,,
992,8.266667,0.692851,1.270793,-1.119139,,,
993,8.275000,0.683824,1.272587,-1.128209,,,
994,8.283333,0.674726,1.274364,-1.137181,,,
995,8.291667,0.665528,1.276155,-1.146160,,,
996,8.300000,0.656278,1.277929,-1.155049,,,
997,8.308333,0.646861,1.279649,-1.163902,,,
998,8.316667,0.637509,1.281385,-1.172645,,,
999,8.325000,0.627944,1.283052,-1.181232,,,
1000,8.333333,0.618292,1.284660,-1.189840,,,
1001,8.341667,0.608589,1.286335,-1.198403,,,
1002,8.350000,0.598977,1.287935,-1.206744,,,
1003,8.358333,0.589092,1.289435,-1.215041,,,
1004,8.366667,0.579113,1.290968,-1.223273,,,
1005,8.375000,0.569159,1.292449,-1.231478,,,
1006,8.383333,0.559113,1.293921,-1.239558,,,
1007,8.391667,0.549031,1.295227,-1.247413,,,
1008,8.400000,0.538782,1.296526,-1.255353,,,
1009,8.408333,0.528487,1.297875,-1.263252,,,
1010,8.416667,0.518226,1.299061,-1.270806,,,
1011,8.425000,0.507861,1.300166,-1.278333,,,
1012,8.433333,0.497417,1.301357,-1.285901,,,
