Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_007,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.23.15.163 A. M.,Capture Start Frame,453465,Total Frames in Take,2650,Total Exported Frames,2650,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1935,Unlabeled 1935,Unlabeled 1935,Unlabeled 1936,Unlabeled 1936,Unlabeled 1936
,ID,"CAD80","CAD80","CAD80","CAD10","CAD10","CAD10"
,,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z
114,0.950000,0.003072,0.032579,0.013838,,,
115,0.958333,0.003057,0.032584,0.013833,,,
116,0.966667,0.003057,0.032588,0.013828,,,
117,0.975000,0.003063,0.032586,0.013819,,,
118,0.983333,0.003063,0.032580,0.013817,,,
119,0.991667,0.003056,0.032575,0.013833,,,
120,1.000000,0.003054,0.032574,0.013837,,,
121,1.008333,0.003044,0.032580,0.013826,,,
122,1.016667,0.003053,0.032585,0.013824,,,
123,1.025000,0.003063,0.032583,0.013823,,,
124,1.033333,0.003071,0.032577,0.013826,,,
125,1.041667,0.003069,0.032582,0.013843,,,
126,1.050000,0.003075,0.032592,0.013836,,,
127,1.058333,0.003074,0.032596,0.013827,,,
128,1.066667,0.003069,0.032592,0.013827,,,
129,1.075000,0.003066,0.032578,0.013836,,,
130,1.083333,0.003074,0.032588,0.013829,,,
131,1.091667,0.003063,0.032599,0.013833,,,
132,1.100000,0.003067,0.032600,0.013832,,,
133,1.108333,0.003063,0.032599,0.013824,,,
134,1.116667,0.003070,0.032588,0.013829,,,
135,1.125000,0.003068,0.032587,0.013840,,,
136,1.133333,0.003080,0.032601,0.013835,,,
137,1.141667,0.003063,0.032601,0.013835,,,
138,1.150000,0.003068,0.032599,0.013830,,,
139,1.158333,0.003078,0.032589,0.013829,,,
140,1.166667,0.003073,0.032576,0.013836,,,
141,1.175000,0.003074,0.032585,0.013834,,,
142,1.183333,0.003061,0.032593,0.013835,,,
143,1.191667,0.003068,0.032590,0.013825,,,
144,1.200000,0.003062,0.032587,0.013827,,,
145,1.208333,0.003064,0.032576,0.013833,,,
146,1.216667,0.003067,0.032574,0.013849,,,
147,1.225000,0.003065,0.032588,0.013841,,,
148,1.233333,0.003054,0.032594,0.013825,,,
149,1.241667,0.003058,0.032586,0.013820,,,
150,1.250000,0.003069,0.032587,0.013830,,,
151,1.258333,0.003049,0.032579,0.013832,,,
152,1.266667,0.003047,0.032589,0.013828,,,
153,1.275000,0.003046,0.032581,0.013818,,,
154,1.283333,0.003060,0.032588,0.013822,,,
155,1.291667,0.003060,0.032591,0.013831,,,
156,1.300000,0.003066,0.032578,0.013827,,,
157,1.308333,0.003059,0.032588,0.013831,,,
158,1.316667,0.003061,0.032591,0.013815,,,
159,1.325000,0.003061,0.032594,0.013809,,,
160,1.333333,0.003055,0.032586,0.013828,,,
161,1.341667,0.003068,0.032580,0.013827,,,
162,1.350000,0.003061,0.032575,0.013830,,,
163,1.358333,0.003057,0.032580,0.013824,,,
164,1.366667,0.003061,0.032587,0.013828,,,
165,1.375000,0.003059,0.032589,0.013831,,,
166,1.383333,0.003065,0.032583,0.013827,,,
167,1.391667,0.003072,0.032576,0.013828,,,
168,1.400000,0.003064,0.032575,0.013828,,,
169,1.408333,0.003065,0.032598,0.013826,,,
170,1.416667,0.003067,0.032599,0.013825,,,
171,1.425000,0.003063,0.032588,0.013832,,,
172,1.433333,0.003075,0.032579,0.013831,,,
173,1.441667,0.003068,0.032586,0.013821,,,
174,1.450000,0.003072,0.032584,0.013828,,,
175,1.458333,0.003069,0.032591,0.013829,,,
176,1.466667,0.003083,0.032584,0.013829,,,
177,1.475000,0.003084,0.032590,0.013830,,,
178,1.483333,0.003083,0.032595,0.013832,,,
179,1.491667,0.003074,0.032589,0.013839,,,
180,1.500000,0.003083,0.032597,0.013822,,,
181,1.508333,0.003075,0.032583,0.013825,,,
182,1.516667,0.003078,0.032586,0.013830,,,
183,1.525000,0.003078,0.032582,0.013832,,,
184,1.533333,0.003059,0.032584,0.013838,,,
185,1.541667,0.003053,0.032589,0.013846,,,
186,1.550000,0.003063,0.032574,0.013827,,,
187,1.558333,0.003064,0.032574,0.013828,,,
188,1.566667,0.003064,0.032572,0.013837,,,
189,1.575000,0.003061,0.032584,0.013834,,,
190,1.583333,0.003060,0.032588,0.013838,,,
191,1.591667,0.003052,0.032581,0.013828,,,
192,1.600000,0.003059,0.032558,0.013828,,,
193,1.608333,0.003058,0.032567,0.013839,,,
194,1.616667,0.003073,0.032573,0.013823,,,
195,1.625000,0.003060,0.032578,0.013829,,,
196,1.633333,0.003056,0.032581,0.013825,,,
197,1.641667,0.003061,0.032576,0.013827,,,
198,1.650000,0.003072,0.032576,0.013828,,,
199,1.658333,0.003067,0.032581,0.013827,,,
200,1.666667,0.003079,0.032586,0.013825,,,
201,1.675000,0.003072,0.032590,0.013816,,,
202,1.683333,0.003063,0.032598,0.013827,,,
203,1.691667,0.003069,0.032590,0.013820,,,
204,1.700000,0.003072,0.032599,0.013816,,,
205,1.708333,0.003080,0.032586,0.013817,,,
206,1.716667,0.003067,0.032591,0.013823,,,
207,1.725000,0.003052,0.032584,0.013821,,,
208,1.733333,0.003060,0.032592,0.013824,,,
209,1.741667,0.003076,0.032595,0.013831,,,
210,1.750000,0.003080,0.032600,0.013837,,,
211,1.758333,0.003065,0.032597,0.013825,,,
212,1.766667,0.003069,0.032592,0.013833,,,
213,1.775000,0.003059,0.032588,0.013834,,,
214,1.783333,0.003074,0.032585,0.013840,,,
215,1.791667,0.003070,0.032589,0.013837,,,
216,1.800000,0.003066,0.032589,0.013827,,,
217,1.808333,0.003063,0.032594,0.013829,,,
218,1.816667,0.003063,0.032589,0.013837,,,
219,1.825000,0.003059,0.032586,0.013829,,,
220,1.833333,0.003078,0.032591,0.013827,,,
221,1.841667,0.003074,0.032596,0.013832,,,
222,1.850000,0.003063,0.032595,0.013827,,,
223,1.858333,0.003058,0.032596,0.013828,,,
224,1.866667,0.003065,0.032596,0.013827,,,
225,1.875000,0.003071,0.032595,0.013834,,,
226,1.883333,0.003071,0.032576,0.013839,,,
227,1.891667,0.003065,0.032580,0.013838,,,
