Format Version,1.23,Take Name,Take 2023-09-07 07.27.12 AM_006,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2023-09-07 08.17.27.226 A. M.,Capture Start Frame,411713,Total Frames in Take,5504,Total Exported Frames,5504,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1916,Unlabeled 1916,Unlabeled 1916,Unlabeled 1917,Unlabeled 1917,Unlabeled 1917,Unlabeled 1918,Unlabeled 1918,Unlabeled 1918,Unlabeled 1919,Unlabeled 1919,Unlabeled 1919,Unlabeled 1920,Unlabeled 1920,Unlabeled 1920,Unlabeled 1921,Unlabeled 1921,Unlabeled 1921,Unlabeled 1922,Unlabeled 1922,Unlabeled 1922,Unlabeled 1923,Unlabeled 1923,Unlabeled 1923
,ID,"CA740","CA740","CA740","CA6F0","CA6F0","CA6F0","CA750","CA750","CA750","CA760","CA760","CA760","CA6B0","CA6B0","CA6B0","CA770","CA770","CA770","CA780","CA780","CA780","CA7A0","CA7A0","CA7A0"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
54,0.450000,-0.009216,0.032029,0.003626,,,,,,,,,,,,,,,,,,,,,
55,0.458333,-0.009206,0.032017,0.003618,,,,,,,,,,,,,,,,,,,,,
56,0.466667,-0.009214,0.032019,0.003617,,,,,,,,,,,,,,,,,,,,,
57,0.475000,-0.009207,0.032018,0.003618,,,,,,,,,,,,,,,,,,,,,
58,0.483333,-0.009199,0.032035,0.003612,,,,,,,,,,,,,,,,,,,,,
59,0.491667,-0.009195,0.032027,0.003621,,,,,,,,,,,,,,,,,,,,,
60,0.500000,-0.009201,0.032029,0.003619,,,,,,,,,,,,,,,,,,,,,
61,0.508333,-0.009203,0.032002,0.003627,,,,,,,,,,,,,,,,,,,,,
62,0.516667,-0.009210,0.032011,0.003613,,,,,,,,,,,,,,,,,,,,,
63,0.525000,-0.009205,0.032017,0.003611,,,,,,,,,,,,,,,,,,,,,
64,0.533333,-0.009195,0.032025,0.003614,,,,,,,,,,,,,,,,,,,,,
65,0.541667,-0.009202,0.032017,0.003611,,,,,,,,,,,,,,,,,,,,,
66,0.550000,-0.009215,0.032009,0.003616,,,,,,,,,,,,,,,,,,,,,
67,0.558333,-0.009208,0.032016,0.003622,,,,,,,,,,,,,,,,,,,,,
68,0.566667,-0.009204,0.032024,0.003622,,,,,,,,,,,,,,,,,,,,,
69,0.575000,-0.009197,0.032021,0.003625,,,,,,,,,,,,,,,,,,,,,
70,0.583333,-0.009209,0.032020,0.003618,,,,,,,,,,,,,,,,,,,,,
71,0.591667,-0.009207,0.032003,0.003623,,,,,,,,,,,,,,,,,,,,,
72,0.600000,-0.009218,0.032004,0.003626,,,,,,,,,,,,,,,,,,,,,
73,0.608333,-0.009204,0.032010,0.003619,,,,,,,,,,,,,,,,,,,,,
74,0.616667,-0.009207,0.032008,0.003618,,,,,,,,,,,,,,,,,,,,,
75,0.625000,-0.009214,0.032008,0.003615,,,,,,,,,,,,,,,,,,,,,
76,0.633333,-0.009214,0.032001,0.003609,,,,,,,,,,,,,,,,,,,,,
77,0.641667,-0.009210,0.032006,0.003613,,,,,,,,,,,,,,,,,,,,,
78,0.650000,-0.009213,0.032008,0.003623,,,,,,,,,,,,,,,,,,,,,
79,0.658333,-0.009198,0.032012,0.003618,,,,,,,,,,,,,,,,,,,,,
80,0.666667,-0.009203,0.032020,0.003607,,,,,,,,,,,,,,,,,,,,,
81,0.675000,-0.009215,0.032015,0.003616,,,,,,,,,,,,,,,,,,,,,
82,0.683333,-0.009220,0.032010,0.003609,,,,,,,,,,,,,,,,,,,,,
83,0.691667,-0.009211,0.032004,0.003620,,,,,,,,,,,,,,,,,,,,,
84,0.700000,-0.009210,0.032008,0.003617,,,,,,,,,,,,,,,,,,,,,
85,0.708333,-0.009214,0.032007,0.003616,,,,,,,,,,,,,,,,,,,,,
86,0.716667,-0.009206,0.032017,0.003618,,,,,,,,,,,,,,,,,,,,,
87,0.725000,-0.009207,0.032013,0.003620,,,,,,,,,,,,,,,,,,,,,
88,0.733333,-0.009206,0.032009,0.003611,,,,,,,,,,,,,,,,,,,,,
89,0.741667,-0.009204,0.032012,0.003616,,,,,,,,,,,,,,,,,,,,,
90,0.750000,-0.009197,0.032008,0.003616,,,,,,,,,,,,,,,,,,,,,
91,0.758333,-0.009209,0.032012,0.003612,,,,,,,,,,,,,,,,,,,,,
92,0.766667,-0.009210,0.032017,0.003622,,,,,,,,,,,,,,,,,,,,,
93,0.775000,-0.009206,0.032014,0.003621,,,,,,,,,,,,,,,,,,,,,
94,0.783333,-0.009198,0.032018,0.003621,,,,,,,,,,,,,,,,,,,,,
95,0.791667,-0.009196,0.032013,0.003625,,,,,,,,,,,,,,,,,,,,,
96,0.800000,-0.009203,0.032017,0.003615,,,,,,,,,,,,,,,,,,,,,
97,0.808333,-0.009208,0.032016,0.003607,,,,,,,,,,,,,,,,,,,,,
98,0.816667,-0.009204,0.032021,0.003614,,,,,,,,,,,,,,,,,,,,,
99,0.825000,-0.009205,0.032014,0.003612,,,,,,,,,,,,,,,,,,,,,
100,0.833333,-0.009206,0.032005,0.003618,,,,,,,,,,,,,,,,,,,,,
101,0.841667,-0.009198,0.032014,0.003614,,,,,,,,,,,,,,,,,,,,,
102,0.850000,-0.009216,0.032013,0.003617,,,,,,,,,,,,,,,,,,,,,
103,0.858333,-0.009204,0.032017,0.003622,,,,,,,,,,,,,,,,,,,,,
104,0.866667,-0.009206,0.032018,0.003622,,,,,,,,,,,,,,,,,,,,,
105,0.875000,-0.009199,0.032016,0.003619,,,,,,,,,,,,,,,,,,,,,
106,0.883333,-0.009200,0.032022,0.003619,,,,,,,,,,,,,,,,,,,,,
107,0.891667,-0.009209,0.032014,0.003612,,,,,,,,,,,,,,,,,,,,,
108,0.900000,-0.009210,0.032007,0.003613,,,,,,,,,,,,,,,,,,,,,
109,0.908333,-0.009197,0.032023,0.003610,,,,,,,,,,,,,,,,,,,,,
110,0.916667,-0.009195,0.032020,0.003622,,,,,,,,,,,,,,,,,,,,,
111,0.925000,-0.009196,0.032018,0.003618,,,,,,,,,,,,,,,,,,,,,
112,0.933333,-0.009210,0.032012,0.003626,,,,,,,,,,,,,,,,,,,,,
113,0.941667,-0.009213,0.032008,0.003615,,,,,,,,,,,,,,,,,,,,,
114,0.950000,-0.009208,0.032022,0.003615,,,,,,,,,,,,,,,,,,,,,
115,0.958333,-0.009198,0.032026,0.003618,,,,,,,,,,,,,,,,,,,,,
116,0.966667,-0.009202,0.032014,0.003624,,,,,,,,,,,,,,,,,,,,,
117,0.975000,-0.009203,0.032015,0.003619,,,,,,,,,,,,,,,,,,,,,
118,0.983333,-0.009216,0.032018,0.003611,,,,,,,,,,,,,,,,,,,,,
119,0.991667,-0.009204,0.032024,0.003607,,,,,,,,,,,,,,,,,,,,,
120,1.000000,-0.009202,0.032029,0.003605,,,,,,,,,,,,,,,,,,,,,
121,1.008333,-0.009194,0.032035,0.003618,,,,,,,,,,,,,,,,,,,,,
122,1.016667,-0.009206,0.032015,0.003610,,,,,,,,,,,,,,,,,,,,,
123,1.025000,-0.009217,0.032008,0.003618,,,,,,,,,,,,,,,,,,,,,
124,1.033333,-0.009213,0.032022,0.003615,,,,,,,,,,,,,,,,,,,,,
125,1.041667,-0.009203,0.032017,0.003614,,,,,,,,,,,,,,,,,,,,,
126,1.050000,-0.009196,0.032019,0.003616,,,,,,,,,,,,,,,,,,,,,
127,1.058333,-0.009196,0.032009,0.003624,,,,,,,,,,,,,,,,,,,,,
128,1.066667,-0.009210,0.032014,0.003616,,,,,,,,,,,,,,,,,,,,,
129,1.075000,-0.009215,0.032016,0.003616,,,,,,,,,,,,,,,,,,,,,
130,1.083333,-0.009206,0.032019,0.003625,,,,,,,,,,,,,,,,,,,,,
131,1.091667,-0.009196,0.032017,0.003625,,,,,,,,,,,,,,,,,,,,,
132,1.100000,-0.009203,0.032011,0.003624,,,,,,,,,,,,,,,,,,,,,
133,1.108333,-0.009212,0.032015,0.003614,,,,,,,,,,,,,,,,,,,,,
134,1.116667,-0.009213,0.032016,0.003619,,,,,,,,,,,,,,,,,,,,,
135,1.125000,-0.009207,0.032020,0.003611,,,,,,,,,,,,,,,,,,,,,
136,1.133333,-0.009194,0.032029,0.003610,,,,,,,,,,,,,,,,,,,,,
137,1.141667,-0.009199,0.032024,0.003617,,,,,,,,,,,,,,,,,,,,,
138,1.150000,-0.009207,0.032017,0.003617,,,,,,,,,,,,,,,,,,,,,
139,1.158333,-0.009214,0.032022,0.003616,,,,,,,,,,,,,,,,,,,,,
140,1.166667,-0.009206,0.032026,0.003618,,,,,,,,,,,,,,,,,,,,,
141,1.175000,-0.009204,0.032020,0.003616,,,,,,,,,,,,,,,,,,,,,
142,1.183333,-0.009200,0.032012,0.003617,,,,,,,,,,,,,,,,,,,,,
143,1.191667,-0.009214,0.032020,0.003621,,,,,,,,,,,,,,,,,,,,,
144,1.200000,-0.009220,0.032017,0.003610,,,,,,,,,,,,,,,,,,,,,
145,1.208333,-0.009216,0.032021,0.003612,,,,,,,,,,,,,,,,,,,,,
146,1.216667,-0.009201,0.032020,0.003607,,,,,,,,,,,,,,,,,,,,,
147,1.225000,-0.009201,0.032014,0.003615,,,,,,,,,,,,,,,,,,,,,
148,1.233333,-0.009210,0.032007,0.003625,,,,,,,,,,,,,,,,,,,,,
149,1.241667,-0.009216,0.032020,0.003612,,,,,,,,,,,,,,,,,,,,,
150,1.250000,-0.009228,0.032018,0.003608,,,,,,,,,,,,,,,,,,,,,
151,1.258333,-0.009216,0.032018,0.003612,,,,,,,,,,,,,,,,,,,,,
152,1.266667,-0.009208,0.032013,0.003619,,,,,,,,,,,,,,,,,,,,,
153,1.275000,-0.009209,0.032008,0.003618,,,,,,,,,,,,,,,,,,,,,
154,1.283333,-0.009226,0.032003,0.003623,,,,,,,,,,,,,,,,,,,,,
155,1.291667,-0.009233,0.032005,0.003610,,,,,,,,,,,,,,,,,,,,,
156,1.300000,-0.009208,0.032010,0.003611,,,,,,,,,,,,,,,,,,,,,
157,1.308333,-0.009199,0.032014,0.003614,,,,,,,,,,,,,,,,,,,,,
158,1.316667,-0.009208,0.032004,0.003622,,,,,,,,,,,,,,,,,,,,,
159,1.325000,-0.009219,0.032004,0.003625,,,,,,,,,,,,,,,,,,,,,
160,1.333333,-0.009227,0.032012,0.003613,,,,,,,,,,,,,,,,,,,,,
161,1.341667,-0.009229,0.032021,0.003614,,,,,,,,,,,,,,,,,,,,,
162,1.350000,-0.009204,0.032006,0.003616,,,,,,,,,,,,,,,,,,,,,
163,1.358333,-0.009206,0.032007,0.003629,,,,,,,,,,,,,,,,,,,,,
164,1.366667,-0.009211,0.032009,0.003623,,,,,,,,,,,,,,,,,,,,,
165,1.375000,-0.009219,0.032010,0.003620,,,,,,,,,,,,,,,,,,,,,
166,1.383333,-0.009220,0.032016,0.003612,,,,,,,,,,,,,,,,,,,,,
167,1.391667,-0.009202,0.032016,0.003624,,,,,,,,,,,,,,,,,,,,,
168,1.400000,-0.009206,0.032013,0.003620,,,,,,,,,,,,,,,,,,,,,
169,1.408333,-0.009216,0.032000,0.003621,,,,,,,,,,,,,,,,,,,,,
170,1.416667,-0.009219,0.032010,0.003622,,,,,,,,,,,,,,,,,,,,,
171,1.425000,-0.009218,0.032021,0.003610,,,,,,,,,,,,,,,,,,,,,
172,1.433333,-0.009195,0.032013,0.003614,,,,,,,,,,,,,,,,,,,,,
173,1.441667,-0.009195,0.032017,0.003616,,,,,,,,,,,,,,,,,,,,,
174,1.450000,-0.009202,0.032016,0.003623,,,,,,,,,,,,,,,,,,,,,
175,1.458333,-0.009219,0.032021,0.003621,,,,,,,,,,,,,,,,,,,,,
176,1.466667,-0.009218,0.032033,0.003615,,,,,,,,,,,,,,,,,,,,,
177,1.475000,-0.009206,0.032023,0.003610,,,,,,,,,,,,,,,,,,,,,
178,1.483333,-0.009196,0.032020,0.003614,,,,,,,,,,,,,,,,,,,,,
179,1.491667,-0.009203,0.032011,0.003617,,,,,,,,,,,,,,,,,,,,,
180,1.500000,-0.009211,0.032009,0.003614,,,,,,,,,,,,,,,,,,,,,
181,1.508333,-0.009216,0.032021,0.003612,,,,,,,,,,,,,,,,,,,,,
182,1.516667,-0.009211,0.032027,0.003610,,,,,,,,,,,,,,,,,,,,,
183,1.525000,-0.009195,0.032013,0.003616,,,,,,,,,,,,,,,,,,,,,
184,1.533333,-0.009200,0.032015,0.003618,,,,,,,,,,,,,,,,,,,,,
185,1.541667,-0.009209,0.032000,0.003617,,,,,,,,,,,,,,,,,,,,,
186,1.550000,-0.009219,0.032028,0.003614,,,,,,,,,,,,,,,,,,,,,
187,1.558333,-0.009216,0.032031,0.003614,,,,,,,,,,,,,,,,,,,,,
188,1.566667,-0.009203,0.032018,0.003597,,,,,,,,,,,,,,,,,,,,,
189,1.575000,-0.009196,0.032008,0.003616,,,,,,,,,,,,,,,,,,,,,
190,1.583333,-0.009205,0.032009,0.003616,,,,,,,,,,,,,,,,,,,,,
191,1.591667,-0.009215,0.032019,0.003611,,,,,,,,,,,,,,,,,,,,,
192,1.600000,-0.009214,0.032023,0.003612,,,,,,,,,,,,,,,,,,,,,
193,1.608333,-0.009213,0.032013,0.003600,,,,,,,,,,,,,,,,,,,,,
