x;y;;x;y
77.55129;178.1721;;-6.68E+01;1.60E+02
86.37405;179.4325;;-7.18E+01;1.60E+02
91.41563;179.4325;;-7.46E+01;1.60E+02
93.93641;180.0627;;-8.17E+01;1.62E+02
98.34779;181.3231;;-8.81E+01;1.62E+02
104.0196;181.3231;;-9.44E+01;1.62E+02
110.9517;182.5835;;-9.87E+01;1.61E+02
117.8839;183.8439;;-1.07E+02;1.59E+02
127.3369;183.8439;;-1.14E+02;1.55E+02
135.5294;183.8439;;-1.19E+02;1.51E+02
140.571;181.9533;;-1.21E+02;1.50E+02
141.8314;176.2815;;-1.21E+02;1.50E+02
146.873;173.1305;;-1.21E+02;1.49E+02
150.6541;169.9795;;-1.26E+02;1.49E+02
155.0655;168.7191;;-1.35E+02;1.48E+02
157.5863;168.0889;;-1.40E+02;1.46E+02
164.5185;166.1983;;-1.42E+02;1.46E+02
166.4091;165.5681;;-1.44E+02;1.46E+02
167.6695;165.5681;;-1.51E+02;1.46E+02
167.6695;163.6776;;-1.54E+02;1.46E+02
168.2997;161.787;;-1.62E+02;1.43E+02
168.2997;158.0058;;-1.69E+02;1.40E+02
170.1902;151.7038;;-1.72E+02;1.37E+02
173.9714;147.9226;;-1.73E+02;1.36E+02
175.862;144.7716;;-1.79E+02;1.35E+02
177.7526;140.3603;;-1.86E+02;1.31E+02
179.013;138.4697;;-1.92E+02;1.27E+02
180.2734;135.9489;;-1.94E+02;1.26E+02
180.9036;134.6885;;-1.96E+02;1.23E+02
180.9036;134.6885;;;
180.9036;134.6885;;;
180.9036;130.9073;;;
180.2734;125.8657;;;
180.2734;122.0846;;;
180.2734;122.0846;;;
179.013;118.3034;;;
178.3828;116.4128;;;
178.3828;116.4128;;;
177.7526;115.1524;;;
177.1224;;;;
175.862;;;;
173.9714;;;;
